"actid","castid","date","tgi","tht","source","executive","associate","Type","product","billed","sr","requirement","fm","advance","orderst","walkout","reason","conversion","remarks","intime","time","user"
"1","4","2023-03-09","1","0","Self","1","1","Gold","1","No","Yes","No","Rajesh","No","No","Yes","xx","100%",NULL,,,"1"
"2","3","2023-02-11","1","3","Self","2","2","Diamond","2","No","No","Yes","Rajesh","No","No","No","fdzvzv","0%","vdrsb",,,"1"
"3","4","2023-02-11","1","0","Self","1","1","Silver","4","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"5","4","2023-02-09","1","0","Self","1","1","Gold","3","Yes","No","No","Rajesh","No","No","No","s","0%","s",,,"1"
"6","4","2023-02-09","1","0","Self","1","2","Gold","2","No","Eo","No","Rajesh","No","No","Yes",,"0%",,,,"1"
"23","4","2023-02-22","1","0","Self","1","1","Gold","5","No","No","No","Rajesh","No","No","No",,"0%",,"16:43",,"1"
"12","4","2023-02-18","1","6","Facebook","1","1","Gold","3","Yes","No","No","Rajesh","No","No","No","dsafc","0%","kj",,"15:49","1"
"13","4","2023-02-18","1","6","Self","1","1","Gold","5","No","No","No","Rajesh","No","No","No",,"0%","ee",,"16:06","1"
"14","4","2023-02-18","1","6","Self","1","1","Gold","4","No","No","No","Rajesh","No","No","No",,"0%","de","12:27",,"1"
"15","4","2023-02-18","1","6","Self","1","1","Gold","2","Yes","No","No","Rajesh","No","No","No","test Reason for non conversion","0%","dddd","12:27","22:52","1"
"16","4","2023-02-18","1","6","Self","1","1","Gold","3","No","No","No","Rajesh","No","No","No","test Reason for non conversion","0%","test Remarks","12:27","22:55","1"
"17","4","2023-02-18","1","6","Self","1","1","Gold","4","No","No","No","Rajesh","No","No","No","test Reason for non conversion","0%","test Remarks","12:27","22:55","1"
"18","84","2023-02-18","1","7","Self","1","1","Gold","3","Yes","No","No","Rajesh","No","No","No","test Reason for non conversion","100%","khygiug","23:19","23:20","1"
"19","83","2023-02-18","1","44","Self","1","1","Gold","4","No","No","No","Rajesh","No","No","No","e","0%","wq","23:08","23:21","1"
"20","85","2023-02-19","1","50","Self","1","6","Gold","5","No","No","No","Rajesh","No","No","No","test Reason for non conversion","100%","hfrsr","10:45","10:47","1"
"21","86","2023-02-21","1","2","Self","1","1","Gold","5","Yes","No","Yes","Rajesh","No","No","No",,"100%","sds","12:12","12:12","1"
"22","87","2023-02-21","1","66","Self","1","1","Gold","1","No","No","No","Rajesh","No","No","No",,"0%","bbbt","12:23",,"1"
"24","4","2023-02-22","1","0","Self","1","1","Gold","2","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"25","4","2023-02-22","1","0","Self","1","1","Gold","3","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"26","4","2023-02-22","1","0","Self","1","1","Gold","2","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"27","4","2023-02-22","1","0","Self","1","1","Gold","6","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"28","4","2023-02-22","1","0","Self","1","1","Gold","4","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
